CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,573,-15,136,51.81,855.00,-44.65,65,861.50,864.10,520,"24,800.00","7,62,840",0.55,0.60,"15,56,555",-6.25,0.60,28.01,"5,20,419","34,686","99,031",
,229,5,45,43.99,805.90,-45.55,325,809.55,814.10,260,"24,850.00","9,28,850",0.60,0.65,"4,74,500",-6.85,0.60,27.12,"2,85,403","16,360","43,358",
,361,-74,358,-,756.70,-39.45,65,762.30,764.85,65,"24,900.00","12,73,220",0.70,0.75,"14,30,000",-7.10,0.75,25.69,"6,42,740","69,242","1,23,055",
,292,-17,71,-,707.00,-38.25,260,711.75,714.85,390,"24,950.00","5,58,350",0.70,0.75,"9,12,145",-7.70,0.75,24.54,"3,77,784","22,488","47,865",
,"2,232",258,"5,633",-,662.10,-38.95,325,662.60,664.15,65,"25,000.00","15,12,355",0.80,0.85,"7,07,590",-8.30,0.85,23.35,"11,93,931","86,333","2,08,559",
,370,-56,281,-,605.25,-48.80,65,611.80,614.05,130,"25,050.00","2,22,430",0.80,0.85,"10,20,695",-8.95,0.85,21.88,"4,41,325","29,226","50,667",
,"1,058",1,"1,210",-,563.60,-38.45,585,561.80,564.60,195,"25,100.00","7,26,310",0.85,0.90,"17,99,655",-9.65,0.90,20.72,"9,08,461","47,923","1,14,315",
,790,-111,948,-,506.90,-45.05,65,509.45,513.30,65,"25,150.00","5,11,940",1.00,1.05,"8,28,035",-10.55,1.00,19.40,"5,46,780","22,312","59,773",
,"3,024",303,"10,010",-,461.20,-42.05,130,462.65,463.95,130,"25,200.00","11,60,380",1.10,1.15,"6,49,155",-11.40,1.15,18.04,"10,22,192","24,916","1,19,700",
,823,-155,"5,035",-,411.00,-43.45,390,412.60,413.70,130,"25,250.00","9,91,120",1.15,1.20,"3,32,280",-12.80,1.20,16.56,"7,37,429","18,235","69,922",
,"5,781",-518,"51,529",-,363.45,-41.90,130,363.10,363.85,65,"25,300.00","11,43,350",1.40,1.45,"13,84,045",-14.05,1.45,15.32,"13,76,478","41,788","1,46,153",
,"2,393",-463,"31,601",-,313.55,-43.10,130,313.20,313.95,195,"25,350.00","6,29,265",1.75,1.80,"2,98,740",-15.65,1.75,14.04,"12,99,325","33,290","95,358",
,"15,000","4,318","2,39,793",-,264.15,-45.50,325,264.00,264.55,390,"25,400.00","6,86,920",2.35,2.40,"46,800",-17.50,2.40,12.92,"24,05,872","40,644","1,96,351",
,"14,328","2,515","2,67,777",-,215.30,-47.90,260,215.25,215.65,65,"25,450.00","63,700",3.55,3.60,"1,36,695",-19.45,3.60,11.80,"25,08,486","56,071","1,66,775",
,"56,743","7,872","15,71,060",-,167.30,-50.10,390,167.05,167.40,325,"25,500.00","40,560",5.95,6.00,"94,835",-21.65,5.95,11.00,"52,33,369","1,91,977","4,09,507",
,"46,956","16,329","19,76,466",6.91,123.10,-52.15,260,123.05,123.30,260,"25,550.00","7,735",10.60,10.65,"42,055",-24.15,10.60,10.32,"55,73,100","2,18,660","3,27,611",
,"1,74,773","86,260","69,31,827",7.84,82.35,-53.00,130,82.35,82.55,975,"25,600.00","17,355",20.65,20.75,"20,995",-24.50,20.65,9.87,"89,63,411","3,61,197","5,22,991",
,"2,64,716","2,12,287","69,82,513",8.13,49.80,-51.85,"3,510",49.80,49.95,"7,020","25,650.00","9,360",38.35,38.50,"14,495",-22.80,38.35,9.65,"57,97,155","2,38,621","3,17,723",
,"4,67,631","3,40,083","92,41,197",8.35,28.55,-45.25,65,28.45,28.50,"3,445","25,700.00",195,67.05,67.20,"1,885",-15.55,67.20,9.76,"47,07,610","1,31,488","2,30,970",
,"3,46,886","2,65,388","59,72,598",8.65,15.05,-37.40,195,15.00,15.05,"46,540","25,750.00",585,103.75,103.95,130,-7.05,104.00,10.22,"12,71,380","39,680","60,414",
,"3,38,114","1,85,997","52,69,862",9.09,8.20,-28.85,"5,850",8.20,8.25,"79,560","25,800.00",390,147.35,147.60,65,1.15,147.70,11.09,"8,13,656","23,349","53,259",
,"1,76,861","86,203","30,10,235",9.63,4.75,-22.55,"85,540",4.75,4.80,"10,010","25,850.00",260,193.30,193.80,130,6.65,193.05,12.19,"1,66,271","1,707","11,462",
,"2,37,409","93,350","26,27,176",10.35,3.10,-17.50,"2,25,550",3.10,3.15,"17,160","25,900.00",260,241.30,241.85,325,12.65,242.30,13.51,"1,54,792",525,"17,168",
,"1,53,799","71,868","15,90,917",11.18,2.25,-14.00,"5,79,085",2.20,2.25,"73,515","25,950.00",325,290.35,291.00,325,17.55,291.20,15.10,"24,258",-976,"6,083",
,"3,23,919","1,13,307","23,09,662",12.17,1.85,-11.00,"9,95,995",1.80,1.85,"9,80,265","26,000.00",65,339.90,340.30,715,18.70,339.55,16.62,"54,062","-1,734","16,382",
,"96,306","34,382","9,67,840",13.01,1.45,-8.65,"14,13,490",1.40,1.45,"4,27,245","26,050.00",455,388.25,390.50,"1,040",20.50,390.35,18.38,"2,950",-291,"1,082",
,"1,79,089","69,181","12,96,820",13.85,1.25,-6.95,"10,00,870",1.20,1.25,"8,88,680","26,100.00",130,439.00,440.30,780,23.20,439.00,20.55,"4,943","-1,602","5,241",
,"62,687","28,525","5,31,775",15.11,1.20,-5.55,"41,600",1.15,1.20,"3,06,930","26,150.00",65,488.90,490.35,585,28.65,492.60,20.40,749,-126,"1,031",
,"1,65,765","68,532","9,06,809",16.32,1.05,-4.55,"7,69,405",1.05,1.10,"5,33,130","26,200.00",130,540.15,542.05,65,24.65,539.20,22.94,"1,961",-412,"2,501",
,"52,842","17,309","4,54,006",17.33,1.00,-3.55,"1,32,015",0.95,1.00,"6,72,425","26,250.00",65,587.25,591.80,130,27.70,592.15,-,182,-84,988,
,"1,43,721","58,676","7,18,256",18.53,0.85,-2.90,"14,35,590",0.85,0.90,"12,68,345","26,300.00",260,637.25,639.50,130,39.35,643.65,26.61,"1,013",-407,"2,968",
,"58,857","26,761","3,63,590",19.87,0.75,-2.40,"10,22,450",0.75,0.80,"9,91,835","26,350.00",130,687.50,690.10,130,33.65,696.75,30.87,"2,498","1,881","2,364",
,"92,828","11,740","5,75,140",20.83,0.75,-1.95,"11,15,985",0.70,0.75,"9,66,875","26,400.00",130,737.70,740.35,130,23.00,740.00,31.13,"3,110","2,156","3,346",
,"25,124","-3,818","1,69,644",22.12,0.65,-1.70,"3,73,880",0.65,0.70,"1,35,590","26,450.00",325,787.35,790.90,260,36.90,800.75,-,90,9,387,
,"1,84,294","-6,498","9,26,230",23.41,0.60,-1.65,"19,81,265",0.60,0.65,"15,30,880","26,500.00",65,837.85,840.40,390,28.25,840.00,34.91,"1,586",-836,"1,518",
,"32,368","5,813","1,30,280",24.46,0.60,-1.35,"8,76,330",0.55,0.60,"3,86,945","26,550.00",325,886.45,891.65,260,-,-,48.36,-,-,238,
,"67,899","12,788","3,38,906",25.71,0.55,-1.20,"14,64,775",0.50,0.55,"7,76,685","26,600.00",325,937.10,941.95,325,34.30,945.60,-,44,-27,889,
,"18,649","6,233","89,107",26.70,0.55,-1.05,"9,13,380",0.50,0.55,"2,30,750","26,650.00",325,986.00,991.00,325,27.80,991.05,-,6,-,216,
,"47,301","-5,608","3,25,251",27.64,0.45,-1.05,"14,53,465",0.45,0.50,"9,51,275","26,700.00",65,"1,037.05","1,041.20",130,50.95,"1,053.65",-,301,-89,169,
,"18,970","7,075","1,11,744",29.14,0.50,-1.05,"7,46,525",0.45,0.50,"3,89,675","26,750.00",65,"1,083.55","1,093.15",65,-,-,36.90,-,-,82,
,"59,227","-15,572","2,85,172",29.73,0.45,-1.05,"21,96,220",0.40,0.45,"13,15,080","26,800.00",65,"1,136.75","1,144.05",65,58.70,"1,165.00",72.31,185,-133,132,
,"11,351",291,"63,980",30.91,0.45,-1.00,"2,50,510",0.45,0.50,"2,27,955","26,850.00",780,"1,173.80","1,218.70",780,-,-,77.16,-,-,5,
,"27,713","-10,123","1,07,002",32.09,0.45,-0.95,"11,48,225",0.40,0.45,"2,55,645","26,900.00",65,"1,236.65","1,243.25",130,30.15,"1,237.80",66.23,1,-,102,
,"14,841","9,086","68,593",32.87,0.35,-1.05,"6,88,285",0.35,0.40,"1,32,665","26,950.00",65,"1,274.75","1,330.30","2,535",-,-,-,-,-,14,
,"1,23,920","-11,816","4,82,761",34.03,0.35,-0.95,"12,00,680",0.35,0.40,"17,63,515","27,000.00",65,"1,336.65","1,341.25",260,49.10,"1,353.00",-,541,-128,323,
,"7,951",864,"17,218",35.18,0.35,-0.95,"1,59,575",0.35,0.40,"27,105","27,050.00",65,"1,384.60","1,399.10",130,261.15,"1,318.85",-,2,1,5,
,"18,267",232,"33,246",35.86,0.40,-0.85,"2,14,175",0.35,0.40,"2,54,865","27,100.00",780,"1,423.00","1,453.80",780,-,-,86.04,-,-,11,
,"12,379","-2,970","22,434",36.98,0.35,-0.80,"1,15,115",0.35,0.40,"70,980","27,150.00",65,"1,477.80","1,538.75","2,535",-,-,131.41,-,-,8,
,"32,035","-6,627","1,01,896",37.56,0.35,-0.80,"9,11,105",0.30,0.35,"9,39,510","27,200.00",780,"1,414.75","1,602.35",780,-,-,-,-,-,6,
,"6,826",379,"13,477",39.21,0.40,-0.80,"61,685",0.35,0.40,"64,545","27,250.00",65,"1,586.80","1,613.15",780,-37.20,"1,643.80",101.52,1,-,49,
,"21,040","-4,630","45,135",40.32,0.35,-0.80,"4,57,990",0.35,0.40,"3,21,685","27,300.00",130,"1,627.60","1,642.60",65,-111.90,"1,650.00",87.21,1,-,40,
,"3,843",2,"10,795",41.43,0.35,-0.80,"51,220",0.35,0.40,"27,625","27,350.00",780,"1,661.15","1,744.40",780,-,-,-,-,-,1,
,"40,161","3,983","85,413",42.53,0.35,-0.75,"5,02,060",0.35,0.40,"3,27,795","27,400.00",780,"1,719.05","1,783.95",780,-,-,63.15,-,-,7,
,"9,728",-278,"21,258",43.02,0.35,-0.55,"63,375",0.30,0.35,"70,460","27,450.00",65,"1,778.45","1,844.50",845,-,-,77.17,-,-,5,
,"75,201","-25,361","1,13,936",45.27,0.35,-0.55,"12,52,680",0.30,0.35,"4,53,180","27,500.00",65,"1,834.70","1,846.55",130,-33.45,"1,777.60",-,13,-10,96,
,"6,963","-1,000","7,226",45.17,0.30,-0.55,"74,035",0.30,0.35,"85,150","27,550.00",780,"1,867.20","1,944.15",845,-,-,-,-,-,4,
,"22,644","-3,480","28,384",46.88,0.35,-0.50,"4,60,395",0.30,0.35,"1,43,130","27,600.00",130,"1,931.90","1,948.50",325,120.60,"1,972.75",108.36,1,-,5,
,"6,697","-2,215","16,193",47.96,0.35,-0.40,"82,420",0.30,0.35,"56,810","27,650.00",65,"1,980.95","2,047.40",780,-,-,134.73,-,-,218,
,"44,933","-9,966","1,01,027",49.03,0.35,-0.40,"11,41,270",0.30,0.35,"7,67,585","27,700.00",780,"1,838.60","2,102.15",780,-,-,107.76,-,-,5,
