,n_fires,ret_pct
2021-09-28,16.0,-0.596468249015425
2021-09-29,10.0,-0.21015082285871234
2021-09-30,9.0,-0.5259376020738893
2021-10-01,8.0,-0.48869834497958786
2021-10-04,15.0,0.9080467581137563
2021-10-05,24.0,0.7407660919946268
2021-10-06,15.0,-0.9892144870289554
2021-10-07,20.0,0.8180302016037588
2021-10-08,22.0,0.5893622760496431
2021-10-11,30.0,0.28359561343596074
2021-10-12,24.0,0.25632525445875576
2021-10-13,33.0,0.943759784921161
2021-10-14,31.0,0.9734787740718787
2021-10-18,39.0,0.7552396132719963
2021-10-19,29.0,-0.3155307734996393
2021-10-20,6.0,-0.8260625212080042
2021-10-21,7.0,-0.4844908296702255
2021-10-22,8.0,-0.3476668084567369
2021-10-25,9.0,0.0579633328010587
2021-10-26,8.0,0.7889480889700096
2021-10-27,4.0,-0.31448386638428527
2021-10-28,2.0,-1.94223384240636
2021-10-29,3.0,-1.0393515763905459
2021-11-01,3.0,1.459965505750782
2021-11-02,8.0,-0.22700482713416958
2021-11-03,11.0,-0.33400508475575075
2021-11-04,4.0,0.4913376165984751
2021-11-08,19.0,0.8469704042186388
2021-11-09,22.0,-0.1344921435271762
2021-11-10,7.0,-0.14991358050348014
2021-11-11,8.0,-0.7970140510272006
2021-11-12,8.0,1.2820606684330382
2021-11-15,7.0,0.03700663573213969
2021-11-16,6.0,-0.6087981951756416
2021-11-17,10.0,-0.5586294529162039
2021-11-18,6.0,-0.7478195643460861
2021-11-22,4.0,-1.9603372100156835
2021-11-23,5.0,0.49836979327988473
2021-11-24,6.0,-0.5044681737814694
2021-11-25,4.0,0.6959452503032093
2021-11-26,5.0,-2.9071254187753914
2021-11-29,2.0,0.16151341742889347
2021-11-30,3.0,-0.41485991949720136
2021-12-01,2.0,1.081664117042136
2021-12-02,3.0,1.3674571102433752
2021-12-03,4.0,-1.177768586739425
2021-12-06,5.0,-1.654091957599968
2021-12-07,3.0,1.5636548581649423
2021-12-08,4.0,1.7060948527881648
2021-12-09,5.0,0.2696066593683266
2021-12-10,6.0,-0.031677089480919296
2021-12-13,10.0,-0.8169055116863166
2021-12-14,6.0,-0.24959111813221968
2021-12-15,4.0,-0.5974060321640162
2021-12-16,3.0,0.1567816750529749
2021-12-17,3.0,-1.525945397337003
2021-12-22,2.0,1.1007170994593363
2021-12-23,5.0,0.6909306212627531
2021-12-24,4.0,-0.40327548791804224
2021-12-27,2.0,0.4851870910828504
2021-12-28,7.0,0.8603409174043453
2021-12-29,1.0,-0.11402602889762914
2021-12-30,8.0,-0.05606259494814747
2021-12-31,5.0,0.8724831757606522
2022-01-03,14.0,1.5653315812207858
2022-01-04,8.0,1.018687423526421
2022-01-05,4.0,0.6739585234692091
2022-01-06,6.0,-1.0005417462796928
2022-01-07,10.0,0.3764183651131514
2022-01-10,10.0,1.0700318921871732
2022-01-11,9.0,0.2913311252602302
2022-01-12,12.0,0.8673115731830494
2022-01-13,14.0,0.24956237305924223
2022-01-14,21.0,-0.011232356375068253
