ticker,date,group,ema34_rising10,fresh,swing_pnl,day1_pnl
360ONE,2025-04-22,Delta,5.0,True,-8.965167085087755,2.4556226678687842
360ONE,2025-04-23,Delta,6.0,False,-1.216575755408722,2.806281094527363
360ONE,2025-05-16,Delta,5.0,True,4.3610074626865725,-1.857898009950243
360ONE,2025-06-16,Common,10.0,False,6.130216360453189,1.406013411204876
360ONE,2025-06-25,Common,10.0,False,2.4251018086052456,0.3709235483494888
360ONE,2025-07-03,Common,10.0,False,-5.81550575867229,0.9760517456709028
360ONE,2025-07-04,Common,10.0,False,-13.190017181267866,0.18704534792650662
360ONE,2025-07-07,Common,10.0,False,-14.725760727986437,-1.521186170820077
360ONE,2025-10-20,Common,10.0,False,-8.34189356224211,1.0090829184632666
360ONE,2026-01-16,Delta,6.0,True,-7.236948033939628,-2.7059604178890417
360ONE,2026-04-17,Delta,3.0,True,2.281225102884199,1.5842401973427789
360ONE,2026-05-08,Delta,6.0,False,1.6741003759434214,-0.7645137461173457
360ONE,2026-07-29,Delta,7.0,True,4.086849648204782,1.4672141704815012
360ONE,2026-08-05,Common,9.0,True,1.4688017469615344,1.121307905611424
360ONE,2026-08-20,Common,10.0,True,-8.984731778529031,0.4168796784664863
AARTIIND,2021-10-04,Delta,6.0,False,21.16193759485916,
AARTIIND,2021-10-05,Delta,7.0,False,12.163359501529891,
AARTIIND,2021-10-06,Delta,8.0,False,7.190396297990587,
AARTIIND,2021-10-07,Common,9.0,False,6.260024790923047,
AARTIIND,2021-10-08,Common,10.0,False,3.210409729658892,
AARTIIND,2021-10-11,Common,10.0,False,2.411330292002245,
AARTIIND,2021-10-18,Common,10.0,False,-16.142038136325276,
AARTIIND,2023-09-13,Common,10.0,False,-7.378712575845558,
AARTIIND,2023-09-14,Common,10.0,False,-11.332187815145966,
AARTIIND,2023-11-29,Common,10.0,False,9.627049082813599,
AARTIIND,2023-11-30,Common,10.0,False,4.4864509083413,
AARTIIND,2023-12-06,Common,10.0,False,2.6629526376896306,
AARTIIND,2023-12-15,Common,10.0,False,7.353482884848783,
AARTIIND,2023-12-18,Common,10.0,False,5.696346386513329,
