ticker,i,time_of_breach_minutes,pullback_from_high_pct,intraday_vol_ratio,immediate_fade,swing_pnl,day1_pnl,d3_from_close,d15_from_close
360ONE,1211,275,0.24028565269012453,0.4823284481251359,False,4.086849648204782,1.4672141704815012,-1.1624902637025536,1.653315281545864
ABB,1185,5,0.547645125958379,5.324986508741811,True,-6.628972589492566,-0.5523800901749754,-3.8700331125827825,-6.08443708609272
ABB,1203,0,3.394535932866427,0.0,False,5.866814483291938,4.942960575389899,-1.7671992174763562,0.8803390935767874
ABCAPITAL,1186,0,0.2417871479283748,0.0,False,5.832665697358141,4.025925744764436,-0.2934109907503091,1.8624792870558071
AEGISLOG,1240,30,1.42815253720498,9.314955187105124,False,5.337190220480448,,-1.481317854132247,5.359535409522076
AMBER,1184,0,1.4872652909462725,0.0,False,-2.4475580381537854,3.0577153930392287,-2.228359801644597,-2.3413470591927665
AMBUJACEM,1217,45,1.1220948627803942,4.359390757646794,True,-6.160980875816346,0.17404540850305406,-3.1797739093223365,-5.797750065835661
ANANDRATHI,1113,0,1.772273564046614,0.0,False,8.714506490962016,,0.7717604007384526,8.504985232782758
ANANTRAJ,1199,0,0.7046479884618219,0.0,False,8.578201656481866,,-2.159249621245507,6.597256298492926
APARINDS,1216,0,1.0641707801782165,0.0,False,7.014613473913633,,7.762586664938764,10.160046653275456
APARINDS,1217,0,1.670854271356784,0.0,False,14.810562571756613,,4.9917017745436,8.917400740457037
APARINDS,1218,40,0.9387654926984906,1.5215552470460028,False,12.50281257031427,,3.8571251395262296,11.000868163214683
APARINDS,1219,60,0.3833483078766098,1.3945653442875319,False,9.772295668019314,,8.231615657507074,7.047080752811019
APARINDS,1220,0,3.1688281204154687,0.0,False,7.280310040096016,,4.723978599221801,7.624027237354092
APLAPOLLO,1215,180,0.8426966292134831,13.691007060860073,False,5.343304442149854,2.0526312052975504,0.18027298480556286,10.481586402266284
APLAPOLLO,1216,0,2.7109196858373448,0.0,False,2.653230273555618,-1.1581520385813393,2.604166666666674,11.421877543131508
APLAPOLLO,1218,50,2.555110220440882,1.687423519048469,False,1.841825781310602,-1.8940538246410843,3.4807172839010248,12.493573264781489
ASHOKLEY,1192,200,2.2027724584837993,1.0823921058213763,False,-6.4541605399448425,0.6067094156986252,2.341047080769676,-6.0559397409465365
ASHOKLEY,1194,60,2.0352155177556113,1.033978409627854,True,-9.310156713134921,-1.1878729408669186,-4.946762750767308,-8.080315355104084
ASHOKLEY,1215,0,0.25714111328125,0.0,False,5.650513622838904,4.456722508456545,1.6900583767778254,-0.7218617837843166
ASHOKLEY,1217,5,0.6399457693692356,5.520634466116812,False,1.7122649531057688,0.5420498516747418,-1.6949152542372836,1.158193814552444
ASTRAL,1223,0,0.5,121.17281785590703,False,-1.106014271429634,5.2964355412731035,-4.522613065326631,-6.080405077143524
AUROPHARMA,1187,5,0.46026032012872703,7.20657714071467,False,6.713289936814948,1.4319566185041044,0.8669045268816511,1.042888835172917
AUROPHARMA,1189,150,0.6262012030750799,1.4753350605077917,False,3.9678757858334857,-0.2216381699649439,-0.16717950537346038,-1.4017443057007473
AUROPHARMA,1190,0,2.365930599369085,0.0,False,3.0311700284519905,-1.3876305374087905,0.8723747980613927,0.781904722839255
AXISBANK,1180,255,0.147242871832737,0.791281945687242,False,2.845236304479859,1.916694987176859,-0.3981437896967033,-1.2312963681315736
AXISBANK,1181,0,0.49450417268133645,0.0,False,1.4068413911304978,-0.131290547629892,-0.5992891141976098,-1.9951799937086956
BAJFINANCE,1185,105,0.7515688134163482,0.736944146379844,False,2.2948322097197105,-0.27557375231412884,3.0307782058671906,6.321479368333738
BALKRISIND,1214,0,1.489501923547004,0.0,False,0.13289923789123748,,1.1360459937841183,-4.960580196962805
BALKRISIND,1217,0,2.180463933132707,0.0,False,-8.418378555591598,,0.919411540699433,-6.915573762652305
BANKBARODA,1181,0,2.283190161780974,0.0,False,1.5747052037492715,0.22325891577521517,2.51766437759946,-10.21553448160356
BANKBARODA,1184,0,1.5676712040989769,0.0,False,0.7528685045458561,-0.691229795436521,-1.8374601438272964,-11.325089417582268
BDL,1185,10,0.39164666542129223,3.81330277823577,False,-1.8683984447086854,4.300597781107718,0.7353994034073663,-5.140525289859211
BDL,1186,0,0.03536067892503536,0.0,False,-7.78627867503483,2.0210739966993296,-2.7226791844206844,-9.163283345276852
BDL,1223,5,0.23209917206097583,7.983025094068829,False,-5.324125640454436,2.591518199000342,1.2722646310432628,-8.564162037668122
BDL,1224,0,1.5354309112834819,0.0,False,-9.47762095647171,1.9332443380686515,-3.505007153075823,-10.228898426323319
BDL,1225,0,3.2936229852838124,0.0,True,-12.979131075937167,-3.2867811568560446,-4.565217391304344,-10.021742668704714
BELRISE,292,35,1.2372897165456702,3.5880469886394257,False,6.9723368111302975,,1.137021414479511,-5.23443464407547
BHARTIARTL,1196,70,1.5590655440749133,0.6923767686571859,False,-2.0883528301685716,-1.6147055749403671,-0.280404210050178,-1.2462352991736814
BHEL,1203,335,0.2041265386580336,2.622048499860158,True,-4.217123369829057,4.430676804655986,-5.07579384779916,-6.258612857601154
BIOCON,1201,10,1.6198002715481004,29.002018897356855,False,-2.74452865953958,0.9428825761176984,-0.022862014344426917,-3.498739588397193
BIOCON,1203,80,1.1185682326621924,3.2047563619810995,False,-2.2659467334831707,-0.5198990656426705,-0.09077022985756189,-0.9303394576693602
BPCL,1183,15,0.5791222516268558,5.3280072499798825,False,-3.1833689619679695,0.2092929197736737,-2.940715755477763,-3.066519775332277
BPCL,1184,5,1.6174221483767497,3.855396445154038,False,-3.5339733258589634,-1.8989559246023302,-2.4502055956678315,-2.0708150634694222
CANBK,1218,305,0.030369320824076503,0.7160544694767057,False,-1.9965557469496242,0.17551717411372625,-1.063017409965905,-2.703111344788278
CARTRADE,1177,5,2.4434241987604897,5.863252767183833,False,17.51989386148527,,-5.156233473897942,11.854454974009387
CDSL,1183,250,0.200987603200892,1.4249182706696242,False,4.901428613081449,0.6399336090001428,6.266947314590299,4.307070612317498
CDSL,1184,15,3.179834051522535,6.096226588390541,False,10.10634804448105,3.9547259386270017,0.051832876127111405,6.0352487060538085
CGCL,1232,5,2.1322337049995648,12.529779060540653,False,9.059773092264912,,0.04290436861471569,5.578306008385403
CGCL,1234,325,2.4592890466108566,4.7201146916278525,False,3.641274497606317,,-0.5349270579283916,4.911226595314666
CGPOWER,1235,360,0.0,1.9005840650576276,False,-1.381978993919275,-0.2819223651706615,-2.2925764192139764,-2.6200873362445365
CHENNPETRO,1203,55,2.507836990595611,14.422802441097584,False,1.4951148814837278,,1.394255808915501,4.150547870193844
CHOLAFIN,1182,80,0.3084925989078415,1.6102509664235276,False,7.210343978070144,0.48316257738127977,0.7736253160632423,5.2963579330483235
CHOLAFIN,1185,60,0.6278945675235944,0.5674119081934299,False,5.436177529260466,-0.32696891346678525,5.875752838401449,6.93870310062481
CHOLAFIN,1186,20,0.3016212976725638,0.45380767084879375,False,4.687527102491962,0.42505324761015206,4.677676289255772,3.066089694831331
CHOLAFIN,1187,5,1.784490290619512,1.1156910037275956,False,6.7849840629358615,-0.5725330773096449,2.7869502813332003,4.519381128491529
COALINDIA,1242,10,0.9991974371263245,8.725055392326007,False,-4.816641669950261,0.5474378399716873,-2.7262180974477968,-4.895593063460701
COCHINSHIP,1219,80,0.3279333744424292,2.838179504186563,False,2.627072306928935,0.8160030858127998,-0.9014905318191713,1.0067808988430071
COCHINSHIP,1223,55,1.9454762143986413,1.983307175983968,False,0.9445509831726095,-1.528494231261024,-1.4532199345761443,-1.3470503535583989
CONCOR,1205,260,0.18003478845225573,0.507217301517996,True,2.225841264710282,-0.07699355320190948,-3.707414829659317,0.581161101499883
CPPLUS,264,145,0.37423148890670943,0.98763462843768,False,-8.203387694412957,,-0.5983472932416634,-9.976114583965213
DATAPATTNS,1160,60,0.3575797032828283,8.667815534182935,False,-7.231182891651744,,-2.0902948615779127,-8.49502294247798
DATAPATTNS,1161,0,1.7371079106686056,0.0,False,-9.275846933262965,,-10.738867333933689,-7.574958548291266
DELHIVERY,1004,0,1.4339444483860009,0.0,False,8.991184789543416,3.8926215110062223,-3.9272427613476157,5.849522221376979
DLF,1178,15,0.7899344632167978,9.813641579378096,False,7.239179727659062,2.164038576497118,4.272113187159543,5.96467778514056
DLF,1179,45,0.0,2.3625074515477715,False,4.058143102471412,1.5477184849427283,-0.7627503394371349,0.7468635465121665
DLF,1181,175,0.450584755890661,2.023243817848468,False,1.8497276468986579,0.3267685242426932,-4.424853454183008,7.031369897713002
DMART,1187,200,0.7254259357344633,0.7210251434086344,False,-10.168153210506636,0.48098991953917647,-0.8172255945234741,-10.553389875063623
DRREDDY,1190,0,2.4390243902439024,0.0,False,-11.579304419073,0.37851826706527536,-2.180708080598881,-11.092533328648212
