group,fresh,swing_pnl,day1_pnl
Delta,True,-8.965167085087755,2.4556226678687842
Delta,True,-1.216575755408722,2.806281094527363
Delta,True,4.3610074626865725,-1.857898009950243
Common,False,6.130216360453189,1.406013411204876
Common,False,2.4251018086052456,0.3709235483494888
Common,False,-5.81550575867229,0.9760517456709028
Common,False,-13.190017181267866,0.18704534792650662
Common,False,-14.725760727986437,-1.521186170820077
Common,False,-8.34189356224211,1.0090829184632666
Delta,True,-7.236948033939628,-2.7059604178890417
Delta,True,2.281225102884199,1.5842401973427789
Delta,False,1.6741003759434214,-0.7645137461173457
Delta,True,4.086849648204782,1.4672141704815012
Common,True,1.4688017469615344,1.121307905611424
Common,True,-8.984731778529031,0.4168796784664863
Delta,True,21.16193759485916,
Delta,False,12.163359501529891,
Delta,False,7.190396297990587,
Common,False,6.260024790923047,
Common,False,3.210409729658892,
Common,False,2.411330292002245,
Common,False,-16.142038136325276,
Common,True,-7.378712575845558,
Common,False,-11.332187815145966,
Common,False,9.627049082813599,
Common,False,4.4864509083413,
Common,False,2.6629526376896306,
Common,False,7.353482884848783,
Common,False,5.696346386513329,
Common,False,4.253243601757473,
Common,False,-3.0416101311623533,
Common,False,-8.637914711016759,
Common,False,3.8067479603997034,
Common,True,1.6180921220126265,
Common,True,-4.262072427181584,
Common,True,-7.193841594338545,
Common,False,-18.87703141786059,
Delta,True,0.33881963543456184,
Common,False,-4.311219121537102,
Delta,True,1.500925834737532,
Delta,True,-20.15166727543659,
Common,False,0.2805926522434943,
Common,False,0.953170274384818,
Common,False,-2.580112723170147,
Common,False,3.166422446166739,
Common,False,0.7744292336006042,
Common,False,6.709031517074293,
Common,False,5.29381876943078,
Common,False,2.4001157551021723,
Common,False,1.5199546282774534,
Common,False,-7.32582498642863,0.9688181167740062
Common,False,-10.659427692498802,-0.8200488642685966
Common,True,2.097190144562533,-1.5332861941578124
Common,False,6.849959017958462,1.5658583453347363
Common,False,4.826982169081462,-1.3897825443565215
Common,True,15.392372080716532,3.4012221685439936
Common,False,9.607632208412365,1.4700631792755825
Common,False,6.7034064451490405,-1.5633865956919735
Common,False,-2.7025336214318907,0.5200707513574043
Common,False,-4.423499316789603,3.051533746527446
Common,False,1.5002852147944168,-2.2318299831643906
Common,False,2.979097465302849,1.678242602815927
Common,False,0.3117676789751389,-0.010445700856354101
Common,False,-0.9518480789189709,-0.49602863160598254
Common,False,0.2920593162244467,0.35859638347013334
Common,False,-0.10375918521642324,-1.0551937489531205
Delta,True,12.728027930123108,4.449019271458798
Delta,False,7.103552575750016,1.2872964009893906
