ticker,i,close_d1,close_d2,swing_pnl,day1_pnl
360ONE,897,6.448378551248957,2.279840962311175,-8.965167085087755,2.4556226678687842
360ONE,898,-1.0562422263681537,-5.579523067569248,-1.216575755408722,2.806281094527363
360ONE,914,-0.764731032338295,-3.3737538465813066,4.3610074626865725,-1.857898009950243
360ONE,1082,-4.645488724604851,-7.945939786249934,-7.236948033939628,-2.7059604178890417
360ONE,1141,1.7263910860444431,1.6438522214675455,2.281225102884199,1.5842401973427789
360ONE,1155,-0.737809269562284,-4.0486320111484115,1.6741003759434214,-0.7645137461173457
360ONE,1211,-0.20061828513749935,-0.8642571409625877,4.086849648204782,1.4672141704815012
AARTIIND,24,11.696724303823425,11.099588772265378,21.16193759485916,
AARTIIND,25,2.8483314422041994,4.8073425437990425,12.163359501529891,
AARTIIND,26,0.16052151198122644,2.811211644276801,7.190396297990587,
AARTIIND,692,1.260934950673187,0.9249745821226174,0.33881963543456184,
AARTIIND,839,-2.650528950439368,-0.9722788338295096,1.500925834737532,
AARTIIND,852,-1.1664532908078118,-3.258226069245307,-20.15166727543659,
ABB,415,6.331849306806503,8.72648532213216,12.728027930123108,4.449019271458798
ABB,416,3.3016637556535278,3.4225513977617306,7.103552575750016,1.2872964009893906
ABB,615,4.503772618936885,2.6461032452172573,9.14554234452012,5.045477714660063
ABB,616,-3.3054873282669095,-0.4883837692272408,2.81710355903968,-2.1580208190697725
ABB,619,-1.8165528900176309,-1.0069169835577152,1.5482148710513455,-1.8165528900176309
ABB,763,-1.7537125101604212,-3.9329781292738897,2.4588501937294227,-0.6549914173956117
ABB,913,-0.1492972582407215,1.3306172549326867,5.187100368672826,-1.8033193611992515
ABB,915,1.0692513941817694,-0.653323205633416,4.7654290530817045,1.614589081560447
ABB,1001,0.47657422257549875,0.4932076119490869,-4.874413311904924,-0.002147900345628173
ABB,1002,-0.10984814438842472,-1.4712618434354896,-4.7195392911522855,0.2925106648655973
ABB,1092,-1.9234606597476667,1.6727986924323979,1.6727986924323979,-1.5288586360670653
ABB,1094,2.1562422478633714,2.42250525980392,7.49925335413737,0.48766070636916403
ABB,1095,-0.4802646500553065,0.31313358670335134,6.375730982804839,-0.8252204051677703
ABB,1185,-0.44264478544689956,-1.8074776380024304,-6.628972589492566,-0.5523800901749754
ABB,1203,2.732554558705802,2.8831085288824276,5.866814483291938,4.942960575389899
ABCAPITAL,583,-0.04160881445950393,-0.18408087070788115,2.893320761739626,0.3003275988582965
ABCAPITAL,587,-0.4142184402606941,-0.5252771036610149,-1.0527718644666617,0.39090603387281764
ABCAPITAL,601,-0.8868441315634912,0.19772576060235192,4.341352212580918,1.2266816889717314
ABCAPITAL,604,0.3343600781342104,0.8442147849222037,-2.4564309073001223,1.702923483172647
ABCAPITAL,605,-0.9456063278392435,-4.899347555475897,-3.186059690166687,-0.8928865605745906
ABCAPITAL,640,11.394782546279103,12.131235232786185,18.295590774093572,9.10360843395499
ABCAPITAL,641,0.013382014990015456,-0.35154153352657813,5.511564964184279,-0.25423007213321025
ABCAPITAL,642,-1.4598188797241396,-2.2537260993918284,4.3380789011660426,-1.1711313522394629
ABCAPITAL,684,-1.1004348391394303,-0.5994161842433732,1.5107927842541002,-0.9136145433719989
ABCAPITAL,688,0.1409986869267854,-1.4865675773254816,-1.5074350360699595,0.1368213744652902
ABCAPITAL,689,-2.601772207988906,-1.7600657816104648,-4.718409458339979,-0.976129323730579
ABCAPITAL,752,-2.3535618209767017,-1.4949237609505506,-2.934659971849274,-1.2564113506451369
ABCAPITAL,1140,-1.9481974359225829,-1.2373670994150099,1.7510493092621093,0.41641734014368215
ABCAPITAL,1186,1.2169108071306889,4.131427103836338,5.832665697358141,4.025925744764436
ABFRL,87,1.0330266247557063,3.3376346290333814,3.3376346290333814,
ABFRL,89,0.44832873862161726,0.8094743946664762,3.5438089524008287,
ABFRL,90,-1.1551231371120019,-0.767299859309245,1.5259240986177591,
ABFRL,596,1.8920551242797456,0.6134249034327688,4.155854625875288,
ABFRL,597,-1.8067544630453125,-0.19065854550794903,1.6504648083099482,
ABFRL,757,2.5212843036043875,1.1370519587069916,-4.900541524123636,
ABFRL,990,-3.554017348998084,-1.8125240431770107,5.271952975268168,
ABFRL,993,3.291954008395237,5.872510641440476,-1.3111974714280383,
ABFRL,994,4.7709450792910335,2.1712244498021116,-2.338019123021984,
ABREL,738,1.2204655479790327,-1.6753210448493205,13.230049947670807,
ACC,44,0.36076599877097326,0.8147818993115674,4.4179073967614,
ACC,45,0.1387907800350474,3.717756320065657,3.717756320065657,
ACC,47,3.6194277204319114,4.266456329795876,-5.639088142334647,
ACC,48,0.4522801936464038,0.6115647522024314,-11.373962158697603,
ACC,49,-0.27531485873765194,0.26069266485886367,-11.718590111392102,
ACC,292,0.2764128819073841,1.311700020818929,0.5214526739377723,
ACC,472,5.120776116669035,6.105001848840708,10.337173832120495,
ACC,473,1.8915974218616682,2.3326651394249165,5.955710860686669,
ACC,474,0.6594344350948411,4.223240114716464,4.223240114716464,
ACC,475,2.703873187212924,2.3323268865868885,0.365179278638772,
ACC,476,1.3294003277735555,-0.6537437473543628,-0.25812386852744895,
ACC,561,4.225890375565555,4.8772280619979735,6.199487683818861,
ACC,562,-2.831939308104925,-3.002087200653125,-1.5093274542982593,
ACC,673,1.420710018363236,0.48201106556942097,4.2795768092164455,
ACE,995,0.026654621007682344,-1.1460597750644008,-4.708602026835685,
ACUTAAS,835,5.102866695857489,6.620826093659571,14.382474240868204,
ACUTAAS,837,2.035522460283823,7.180025717980243,7.180025717980243,
ACUTAAS,838,5.647882556678319,6.9013823308398115,-11.921433463539532,
ACUTAAS,839,4.740084153548896,0.6788048195717211,-13.702177932535331,
ACUTAAS,840,-3.852400492493202,-5.059560349644832,-15.461250113500679,
ADANIENSOL,208,1.0023835302872541,1.946929103162831,13.216158159388058,5.182333575252707
ADANIENSOL,209,-3.554343474738486,-1.4368477002773994,7.1067740736024065,-2.5354030349055923
ADANIENSOL,349,-1.100832564641685,-9.85160559204694,-27.881286221935476,-0.10365588394836145
ADANIENSOL,481,-2.787370905149511,-4.162460271946166,2.9136670637397444,-3.212289678534952
ADANIENSOL,557,-0.7534052150055204,-2.794862314709501,2.7779137219726024,-0.6055574431558131
ADANIENSOL,560,12.996645913698401,21.322387857581205,8.536795440037782,-5.905598521907907
ADANIENSOL,561,19.55701870709663,23.089398330522325,8.7133939355724,16.753692836128952
ADANIENSOL,562,9.990431848914483,3.824291905057353,-6.172754379027834,6.833962116309111
ADANIENSOL,616,1.9079026669600152,-2.290227468725148,-13.954215927147063,7.290590710915756
ADANIENSOL,673,-1.8002057997823506,-3.2451704314942043,-0.1596086744005465,0.0315625778058104
ADANIENSOL,719,10.364071209580118,9.204356785886802,-6.724527681468484,-3.0679387643189004
ADANIENSOL,720,7.4197796195958565,-1.3233007478822834,-8.248800915374533,6.415215825360088
ADANIENSOL,787,-6.405142321526314,-9.104105999647306,-32.30743701816191,-2.3130043762628616
ADANIENSOL,876,1.7464361003878492,1.8964431670674076,9.115827008501132,0.14628950853801115
ADANIENSOL,877,1.2350654822706586,3.296782872381576,8.407590579450886,1.8436464015201715
ADANIENSOL,1002,10.252522777843943,8.805849662554577,10.281926586225199,3.671949026384791
ADANIENSOL,1135,2.9130474187070377,10.463981570008318,10.463981570008318,2.383571230317738
ADANIENSOL,1137,7.7836668113923535,7.4030790209379305,12.121418308085152,2.7122452254854768
ADANIENSOL,1138,0.4242832522862283,4.836036112374065,4.836036112374065,2.4693813642899354
ADANIENSOL,1139,2.4651411785827637,5.582850022628483,14.659381599975486,-0.9249373755302215
ADANIENSOL,1140,3.9671923081104232,3.934179596908005,12.904832311107395,1.8833920985281694
ADANIENT,32,-0.05206505226252878,-2.90109463110102,-2.975333344605824,3.5022549616509746
ADANIENT,48,4.203389341025665,4.772913014967628,10.099977411984984,2.2966012192143115
ADANIENT,49,-0.14364438122451695,2.273439983438763,4.933443021668338,-1.0373089345316777
ADANIENT,50,0.6356090940242476,3.2530142188302413,3.2530142188302413,-0.9519396594651175
ADANIENT,51,2.1623133644059767,-0.053723425949026016,-3.9076930146253575,0.07182397869807122
ADANIENT,52,-0.954663982446724,-1.2526809875093803,-2.8729599358904734,1.8142755933548305
ADANIENT,82,-1.639669956997225,-2.8791586134882197,0.3383528608933206,0.24675242887977067
ADANIENT,191,-3.3841850543524954,-1.5203855326167637,-2.168271246898512,-0.3776989210764081
ADANIENT,413,-5.871875191941522,-2.1738017730278503,1.5831349637646541,-1.7771226173658339
ADANIENT,420,-0.5633100432792637,-3.0255614689459476,17.727744677236924,1.678788154851385
ADANIENT,560,17.20375247965409,14.217563007687527,13.484878685345647,0.2470551857365555
ADANIENT,561,10.581963062217813,10.704661752652921,9.025205289784232,18.099291595970058
ADANIENT,562,-4.237272375758117,-6.393231541758714,-0.7661732598151505,-3.8110525938197415
ADANIENT,673,6.082185957515596,3.076743803130033,14.239824499549503,6.741881145453843
ADANIENT,674,-3.914074699078729,-5.22869946135075,-0.3412153076002733,-1.8997788509010904
ADANIENT,880,0.37970077940261415,-1.669247558788245,2.3672140852911916,0.4347936637087324
ADANIENT,897,-0.6234894925279622,-0.29433004053537326,-0.7982283383880406,-0.07896463623568994
ADANIENT,898,-0.9536602409343065,-1.4017463185595713,-0.6186157176653051,-0.6953105194090203
ADANIENT,906,-5.682183727101031,-5.718240151876463,-2.8254016941274496,-1.6754795523814536
ADANIENT,915,0.045917655723748396,-1.4898576094085625,-0.2061127715564215,1.254846518558006
ADANIENT,945,0.49228731865293973,0.5843680314524091,-0.4016008826215889,1.6662485007157724
ADANIENT,1003,7.318207975708013,9.232341261034872,3.1511802082185625,3.461364220733909
ADANIENT,1004,3.2603520722772616,1.0766272872984928,-2.889584647526211,1.9562944353938239
ADANIENT,1139,1.6546567943394042,4.4657584479638635,14.359119236772312,3.6741020955252335
ADANIENT,1140,1.5625877639074304,2.2354668910254283,11.181005686885182,0.009447897151582119
ADANIENT,1142,0.3667959587140279,0.20473538683114523,8.595639650302234,-0.14188256899511087
ADANIENT,1143,-1.1194029850746134,0.42644140139149744,7.160621106243337,-0.9550483665656029
ADANIGREEN,216,-7.482221310071447,-8.262452012884724,0.9310789898753447,2.331102881650393
ADANIGREEN,345,-1.5352730287331529,-8.231375034777733,-30.209734714816662,1.716518978667314
ADANIGREEN,391,-0.23921732088774128,-5.227762782513912,-5.491121176142721,7.367678971040492
ADANIGREEN,392,-9.739193054352512,-13.723349134993523,-11.615507649661517,-8.354871628349036
ADANIGREEN,428,3.992910414743389,2.5559776814428004,0.9341387348332786,8.298433502780767
ADANIGREEN,429,-2.3239348970130136,-3.05853544989646,-3.632118912261295,-1.1415378063078352
ADANIGREEN,472,11.247685534490536,9.179587471649109,-5.77504395531534,8.672324651253538
ADANIGREEN,556,8.547213095543004,7.203017536117762,17.096991872653366,13.54370638740825
ADANIGREEN,557,-6.853353901273874,-7.061598286999937,1.7433306624294431,-5.839320232323364
ADANIGREEN,560,19.28091525067137,38.294209213495535,41.54491268806888,-0.40021462939860974
ADANIGREEN,561,31.391181858601858,36.492371286646396,34.555262167703525,23.915893505445762
ADANIGREEN,671,-0.1417312743112964,1.0540372253486696,-11.936181187562077,0.5297178302374528
ADANIGREEN,674,0.0469253523938562,-1.8119395511207559,-14.65289498313538,0.783210117825428
ADANIGREEN,675,-3.3233001532071538,-4.040598669763673,-15.966601063436025,-1.2122558066517075
ADANIGREEN,721,-1.660504752503944,-7.54864464659536,-0.7928353578730785,-2.311261583876034
ADANIGREEN,733,0.07296107722047918,-1.7244292453167942,-3.633832120754199,0.2891701705575622
ADANIGREEN,734,-3.2492190805796906,-2.5029479194715765,-0.2051622725611546,-1.4797160801180875
ADANIGREEN,756,2.178689523659516,4.1581802226544395,-5.178357395435606,2.065504186442668
ADANIGREEN,757,1.9950421845279065,1.8078522439866296,-13.154835608492355,0.37192560629195626
ADANIGREEN,758,0.6641361356570341,0.23065314007202353,-14.712500062618483,1.2607906258768287
ADANIGREEN,896,-1.5527638578962222,-2.885985201466146,-3.1691014361231784,-1.7123372061542907
ADANIGREEN,906,-5.860865973141626,-6.472655633754842,4.014436309211522,-1.5018646412724768
ADANIGREEN,915,0.5436197190430647,-2.436000148035966,1.0195646374969947,2.323455088471449
ADANIGREEN,916,-4.482464535174735,-3.264166970027904,0.40529536008979683,-1.3711928164057752
ADANIGREEN,1003,14.094142980480552,12.044273548414486,4.107256472422183,2.9882447470714
ADANIGREEN,1029,6.3193848551001075,6.310061687812141,-1.1502935183501206,3.754887752981828
ADANIGREEN,1030,-0.9320211171218062,-3.956205768374277,-10.447761194029848,-0.4975124378109319
ADANIGREEN,1031,-4.523233431793738,-6.147334316571918,-12.79926279155662,-1.5169030976292963
ADANIGREEN,1136,11.172666089879213,15.5150493380793,15.5150493380793,9.836949922572447
ADANIGREEN,1138,3.058177734597556,4.064605296810342,22.54566396755491,-0.21267707265198998
ADANIGREEN,1139,0.26173877366788556,2.3519519766428854,18.06743814111471,1.2633911572910161
ADANIGREEN,1140,1.5027927617165648,2.264814317431907,17.087895971726972,-0.07113782894767606
ADANIPORTS,32,5.482268708021287,3.1007694065562585,-10.45296697817264,6.829187911581758
ADANIPORTS,33,-3.594417764072,-3.271947399190811,-16.26799774958644,-0.8260656077231698
ADANIPORTS,221,-0.4104576916807212,1.0226797380631147,7.3177622010249355,1.3843137698559937
ADANIPORTS,296,2.302069881550972,2.422295885360315,0.8765150083873019,2.3650447417687293
ADANIPORTS,298,-1.1546056848975028,0.1540603767027804,-1.9110869396600338,-1.1601261174703503
ADANIPORTS,556,0.4097853477742719,-0.7979426538803458,5.589206673644176,2.1462734635999015
ADANIPORTS,560,17.984509409541904,18.54933934256713,19.807094048015106,2.9496681783186984
ADANIPORTS,561,14.664132255592488,17.108469442897256,15.390675842102898,17.711102480663143
ADANIPORTS,562,0.9936138748033008,-0.6286576059211568,-1.2115092088827661,-0.040950092082814304
ADANIPORTS,639,2.830960006440475,2.3219811286973924,-3.2950323487209054,2.365928439894094
ADANIPORTS,640,0.6150684012090846,-1.5704919883349544,-4.184519859315672,0.8059017801124835
