ticker,date,direction,streak_len,swing_pnl,day1_pnl
360ONE,2025-06-16,up,1,6.130216360453189,1.406013411204876
360ONE,2025-06-25,up,2,2.4251018086052456,0.3709235483494888
360ONE,2025-07-03,down,2,-5.81550575867229,0.9760517456709028
360ONE,2025-07-04,up,1,-13.190017181267866,0.18704534792650662
360ONE,2025-07-07,up,2,-14.725760727986437,-1.521186170820077
360ONE,2025-10-20,up,4,-8.34189356224211,1.0090829184632666
360ONE,2026-08-05,up,1,1.4688017469615344,1.121307905611424
360ONE,2026-08-20,up,1,-8.984731778529031,0.4168796784664863
AARTIIND,2021-10-07,up,1,6.260024790923047,
AARTIIND,2021-10-08,up,2,3.210409729658892,
AARTIIND,2021-10-11,up,3,2.411330292002245,
AARTIIND,2021-10-18,up,7,-16.142038136325276,
AARTIIND,2023-09-13,up,1,-7.378712575845558,
AARTIIND,2023-09-14,up,2,-11.332187815145966,
AARTIIND,2023-11-29,up,2,9.627049082813599,
AARTIIND,2023-11-30,up,3,4.4864509083413,
AARTIIND,2023-12-06,up,7,2.6629526376896306,
AARTIIND,2023-12-15,up,3,7.353482884848783,
AARTIIND,2023-12-18,down,1,5.696346386513329,
AARTIIND,2023-12-19,up,1,4.253243601757473,
AARTIIND,2023-12-26,up,3,-3.0416101311623533,
AARTIIND,2023-12-27,up,4,-8.637914711016759,
AARTIIND,2023-12-29,down,1,3.8067479603997034,
AARTIIND,2024-01-19,up,1,1.6180921220126265,
AARTIIND,2024-02-12,down,1,-4.262072427181584,
AARTIIND,2024-02-16,up,4,-7.193841594338545,
AARTIIND,2024-04-29,up,1,-18.87703141786059,
AARTIIND,2024-07-02,down,1,-4.311219121537102,
AARTIIND,2025-05-16,down,1,0.2805926522434943,
AARTIIND,2025-05-19,down,2,0.953170274384818,
AAVAS,2024-04-26,down,1,-2.580112723170147,
AAVAS,2025-03-20,up,4,3.166422446166739,
AAVAS,2025-03-24,up,6,0.7744292336006042,
AAVAS,2025-03-26,down,1,6.709031517074293,
AAVAS,2025-03-27,up,1,5.29381876943078,
AAVAS,2025-04-01,down,2,2.4001157551021723,
AAVAS,2025-04-02,up,1,1.5199546282774534,
ABB,2022-05-31,down,1,-7.32582498642863,0.9688181167740062
ABB,2022-06-01,down,2,-10.659427692498802,-0.8200488642685966
ABB,2022-08-10,up,3,2.097190144562533,-1.5332861941578124
ABB,2022-08-16,up,6,6.849959017958462,1.5658583453347363
ABB,2022-08-17,up,7,4.826982169081462,-1.3897825443565215
ABB,2022-08-24,up,2,15.392372080716532,3.4012221685439936
ABB,2022-08-25,down,1,9.607632208412365,1.4700631792755825
ABB,2022-08-26,up,1,6.7034064451490405,-1.5633865956919735
ABB,2022-08-30,up,1,-2.7025336214318907,0.5200707513574043
ABB,2022-09-01,down,1,-4.423499316789603,3.051533746527446
ABB,2023-02-17,down,1,1.5002852147944168,-2.2318299831643906
ABB,2023-03-01,up,1,2.979097465302849,1.678242602815927
ABB,2023-03-02,down,1,0.3117676789751389,-0.010445700856354101
ABB,2023-03-03,up,1,-0.9518480789189709,-0.49602863160598254
ABB,2023-03-08,up,3,0.2920593162244467,0.35859638347013334
ABB,2023-03-09,down,1,-0.10375918521642324,-1.0551937489531205
ABB,2023-05-08,up,1,4.509889681475987,1.127441275180141
ABB,2023-05-10,up,3,2.7376773595759296,-0.5861094285200541
ABB,2023-05-11,down,1,3.7850207226661325,-0.19559962024101596
ABB,2023-05-12,up,1,2.9630885417014197,1.1697992163293813
ABB,2023-05-26,up,2,3.4633271003204014,0.956927348382064
ABB,2023-05-29,up,3,2.3196916281727153,-0.10816364106210896
ABB,2023-05-31,down,1,1.7364230603927666,1.2572785373429873
ABB,2023-06-13,up,2,2.097099930823898,0.15056145187068992
ABB,2023-06-14,up,3,1.3696600813494886,-0.26426174576894557
ABB,2023-06-19,down,1,0.45325341131379204,-1.8080957470758774
ABB,2023-06-21,up,2,-0.5020170843488825,-1.8553935307621172
ABB,2023-12-04,up,5,6.329496919796318,3.9082347570657427
ABB,2023-12-05,up,6,0.5776179460640574,3.1570739086969724
ABB,2023-12-15,up,3,-3.1961541340541966,-1.545404078189594
ABB,2023-12-18,down,1,-0.6822023345005923,-0.6499045175705542
ABB,2024-03-04,up,3,6.9472504613773856,0.7211779718124145
ABB,2024-03-05,down,1,4.813969031168086,-0.5853345804077592
ABB,2024-03-07,up,2,3.8061424058683846,0.9123926640834279
ABB,2024-03-11,down,1,2.515734558281646,0.49888678156182475
ABB,2024-03-22,up,3,5.295162586730906,-1.3845634433260368
ABB,2024-03-27,up,1,11.357274892755619,3.558247299370665
ABB,2024-03-28,up,2,5.951742090542922,0.7662972481936814
ABB,2024-04-01,up,3,3.822699887868919,0.6255860198383312
ABB,2024-04-04,up,1,2.299737039657379,-1.2125358687548493
ABB,2024-04-05,down,1,1.4632534787159646,0.21692462248608102
ABB,2024-04-08,up,1,0.53343554943035,0.028007599627177804
ABB,2024-05-06,down,2,5.316568849420067,2.2428358941668947
ABB,2024-05-08,down,4,12.848400045228425,1.834577114427871
ABB,2024-05-13,up,2,17.854890202458208,10.76509941288295
ABB,2024-05-16,up,1,3.8810320238955365,0.8518341262976792
ABB,2024-05-21,up,3,3.5098213223096364,1.4581257346882426
ABB,2024-06-03,up,2,4.364340821252322,1.240352792234778
ABB,2024-06-14,up,4,-2.829834799902353,3.8725391333407355
ABB,2024-07-04,up,2,-10.412221065301551,-0.5454393499763732
ABB,2024-10-09,down,1,5.0880198037302815,1.8482692669791856
ABB,2024-10-14,up,1,1.2299825590035063,-0.4940516083721813
ABB,2024-10-16,down,2,-17.960550513773633,0.4873205614235321
ABB,2024-12-11,up,1,1.665194231577627,-0.22049029697739364
ABB,2024-12-16,down,1,-14.308000318013114,0.8230977852007548
ABB,2025-05-26,up,2,-0.09049833892561532,-0.3230778240029375
ABB,2025-05-30,down,1,-2.1613513978706034,-2.300687665461809
ABB,2025-06-06,up,3,-1.2863111705285202,-0.895977777018786
ABB,2025-06-09,up,4,-2.028195996779114,0.863990306744955
ABB,2026-02-16,up,1,5.260576789742677,0.15354904606810216
ABB,2026-02-20,up,1,4.268221183644072,2.0151766420423156
ABB,2026-03-10,up,1,2.7655213578389626,-0.10466561720443579
ABB,2026-03-11,down,1,-1.397014925373119,-0.6248756218905305
ABB,2026-03-12,down,2,-1.3784830786777391,1.3037578903899671
ABB,2026-03-13,down,3,1.5994759850332496,-0.9540523527474809
ABB,2026-04-08,up,5,6.980770130538527,2.5437077933218033
ABB,2026-04-09,down,1,6.2271601971915835,0.37140593637476904
ABB,2026-04-10,up,1,5.3075483767552,0.7458941366638827
ABB,2026-04-15,up,1,1.28922399803173,-0.9586057115767765
ABB,2026-04-17,up,1,7.954436312645274,0.37756306413023744
ABB,2026-04-20,up,2,6.582715393806082,1.146111880243006
ABB,2026-04-22,down,1,-12.603115986431657,3.138926584374402
ABB,2026-08-04,down,1,-1.2420492371896574,0.3247151580247243
ABCAPITAL,2022-12-05,up,1,-6.955760499632713,2.877651432806849
ABCAPITAL,2022-12-06,down,1,-7.466432979713444,-1.1537807644476539
ABCAPITAL,2023-06-28,up,3,-4.229499108461477,-1.1152190054883437
ABCAPITAL,2023-06-30,up,4,-5.045902503907895,0.7290252348384207
ABCAPITAL,2023-07-03,up,5,-4.565535978059277,-1.432396626351573
ABCAPITAL,2024-01-15,up,5,-0.8548384577028556,-1.5969874384980987
ABCAPITAL,2024-02-26,down,2,0.1845521108383208,-0.3925732720692743
ABCAPITAL,2024-04-16,down,3,3.388190468094887,-1.808637712354566
ABCAPITAL,2024-04-23,up,3,8.368113485538098,3.4873013832459554
ABCAPITAL,2024-04-24,up,4,8.842150111480972,-1.4925359331714905
ABCAPITAL,2024-04-25,up,5,6.116878671446213,2.655351361372249
ABCAPITAL,2024-04-26,down,1,-9.743037741725669,0.4291920685246309
ABCAPITAL,2024-04-29,up,1,-6.208560917667572,1.5181543699853473
ABCAPITAL,2024-04-30,down,1,-6.921008958413388,-4.244550504078459
ABCAPITAL,2024-05-24,down,1,-0.45414413881962323,-0.2590000275055071
ABCAPITAL,2024-06-20,up,1,-7.433652330674844,-0.19078467482045447
ABCAPITAL,2024-09-02,up,13,2.8706000512853658,0.4490793362763368
ABCAPITAL,2024-09-03,up,14,-1.066342792572328,-3.7354975759301356
ABCAPITAL,2024-10-01,down,3,-12.573362364653173,1.0808389957730924
ABCAPITAL,2025-04-21,up,5,2.4475608838463225,1.5025375634390992
