ticker,i,vol_zscore,body_atr_daily,dist_to_trigger_pct,consolidation_days,immediate_fade,swing_pnl,day1_pnl
360ONE,897,1.8147977543789222,0.7145418224086608,1.8429003179510905,4,False,-8.965167085087755,2.4556226678687842
360ONE,898,1.3319992159672276,0.7296191529468868,2.976329291044788,4,False,-1.216575755408722,2.806281094527363
360ONE,914,-1.0110504891062453,0.4660850409943441,-2.7761594573063486,2,False,4.3610074626865725,-1.857898009950243
360ONE,1082,5.7295144008360355,0.2006345663940492,-2.3962944351237137,7,True,-7.236948033939628,-2.7059604178890417
360ONE,1141,0.8558554078097529,0.781281820826871,2.097810379267262,3,False,2.281225102884199,1.5842401973427789
360ONE,1155,-0.7155597911111358,0.16284474292771156,-0.45301221975987405,5,True,1.6741003759434214,-0.7645137461173457
360ONE,1211,-0.21614067767055553,0.9692574932494679,1.4060936063975848,8,False,4.086849648204782,1.4672141704815012
AARTIIND,24,28.299429315480566,2.4629148262304743,6.998172824291338,4,False,21.16193759485916,
AARTIIND,25,1.4600103749562707,1.1359427858447455,3.401118304372397,4,False,12.163359501529891,
AARTIIND,26,-0.1040531176681274,0.17331378696151453,-1.7116333277572449,4,False,7.190396297990587,
AARTIIND,692,3.406429540796627,1.3082341113449116,1.8613827414651007,5,False,0.33881963543456184,
AARTIIND,839,2.0660057669588667,0.08438854504767382,0.04349792455109469,4,False,1.500925834737532,
AARTIIND,852,0.7793964712844845,0.0611340143368959,-0.20019963133066643,6,True,-20.15166727543659,
ABB,415,6.659289017394014,1.8714139329314017,4.230288147087857,8,False,12.728027930123108,4.449019271458798
ABB,416,1.4110423243620909,0.7500392520836056,1.0265062009928494,7,False,7.103552575750016,1.2872964009893906
ABB,615,2.348103432425089,1.1891689025036662,5.14238313690607,2,False,9.14554234452012,5.045477714660063
ABB,616,0.16833135209194602,0.14726400494963998,-1.5555286925464262,2,False,2.81710355903968,-2.1580208190697725
ABB,619,-0.44142575800609896,0.05766827676492766,-2.111378166814004,4,False,1.5482148710513455,-1.8165528900176309
ABB,763,0.43504143064720996,0.7789672822406462,0.1578376606739873,7,True,2.4588501937294227,-0.6549914173956117
ABB,913,0.07722927073912711,0.0811490027806913,-1.890373156091807,5,False,5.187100368672826,-1.8033193611992515
ABB,915,-0.0476224921005997,0.4156965760097069,0.7576298585368235,7,False,4.7654290530817045,1.614589081560447
ABB,1001,-0.1094059466058692,0.10848772929130572,-0.4513035644561736,14,False,-4.874413311904924,-0.002147900345628173
ABB,1002,0.9376610248265903,0.27727481244619295,-0.12638171745156246,14,True,-4.7195392911522855,0.2925106648655973
ABB,1092,0.11440346687065973,0.8253315233822436,0.05851768646627509,6,False,1.6727986924323979,-1.5288586360670653
ABB,1094,0.10664385585721499,0.14989752440828755,0.6207922123394383,5,False,7.49925335413737,0.48766070636916403
ABB,1095,-0.11152666583459388,0.5011233937283085,-0.7389814663896543,4,False,6.375730982804839,-0.8252204051677703
ABB,1185,-0.5196065349647698,0.20751989536646734,-0.5798139163569971,7,True,-6.628972589492566,-0.5523800901749754
ABB,1203,10.996774500031538,1.9494986410693387,4.942960575389899,6,False,5.866814483291938,4.942960575389899
ABCAPITAL,583,2.3113572154923507,0.022985771793041454,-0.21256832531418857,3,True,2.893320761739626,0.3003275988582965
ABCAPITAL,587,0.9801977831774522,1.3545997532427567,0.25209117720887964,5,True,-1.0527718644666617,0.39090603387281764
ABCAPITAL,601,6.391678959445662,1.9663684827055532,0.30897066178396937,6,False,4.341352212580918,1.2266816889717314
ABCAPITAL,604,0.4301790226843992,0.9978488284237469,0.6832140695966604,6,False,-2.4564309073001223,1.702923483172647
ABCAPITAL,605,-0.08728130132831331,0.42849238087544655,-1.4464119412251453,5,True,-3.186059690166687,-0.8928865605745906
ABCAPITAL,640,40.881236886366835,1.8427598039216593,9.676404043022192,2,False,18.295590774093572,9.10360843395499
ABCAPITAL,641,0.3236743565571642,0.5864570690250736,-0.6434833420952857,2,False,5.511564964184279,-0.25423007213321025
ABCAPITAL,642,-0.10819733124910158,0.07837084308530236,-1.098953964006688,3,True,4.3380789011660426,-1.1711313522394629
ABCAPITAL,684,0.9543431792058453,0.03431967210883623,-1.537761222996159,7,False,1.5107927842541002,-0.9136145433719989
ABCAPITAL,688,-0.12070972368844983,0.41299182923772076,-0.22624820984170624,11,False,-1.5074350360699595,0.1368213744652902
ABCAPITAL,689,-0.7736468793995787,0.0011338347230612235,-0.9926305320386408,11,False,-4.718409458339979,-0.976129323730579
