ticker,breach_date,low_pct,close_pct_final,swing_pnl
360ONE,2026-08-05,"[-1.071223413389899, -0.7950455942670631, -0.8285232414249166, -0.8285232414249166, -0.7113565843442138, -0.23433331416141678, -0.13390037268783406, -0.13390037268783406, -0.0251107893542879, -0.35986682904568523, -0.4602895545756658, -0.4519226967721002, -0.41007819181066996, -0.5021340595370849, -0.4937672017335193, -0.5774562116563686, -0.4686564123792314, -0.5188779910878183, -0.36823368684925084, -0.33475603969139733, -0.20922252480711778, -0.15901116204213306, -0.05858843651215251, -0.12553351488426845, -0.2845446769264015, -0.36823368684925084, -0.41007819181066996, -0.41007819181066996, -0.38496740245638206, -0.4519226967721002, -0.6193007166177988, -0.5272448488913839, -0.6527783637756523, -0.6025670010106676, -0.6276675744213644, -0.5858230694599342, -0.6193007166177988, -0.6527783637756523, -0.6276675744213644, -0.569089353852803, -0.5774562116563686, -0.6109338588142332, -0.6360344322249301, -0.7950455942670631, -0.6946228687370826, -0.8034124520706287, -0.820156383621351, -0.9540567563091851, -1.1549124233127372, -0.8787346041899013, -0.9791675456634841, -0.8368900992284822, -0.7197234421477794, -0.6444115059720867, -0.8034124520706287, -0.8034124520706287, -0.8954785357406347, -0.8368900992284822, -0.6695120793827836, -1.0628565555863334, -1.0210120506249032, -0.8285232414249166, -0.8117895258177854, -0.7197234421477794, -0.686256010933517, -0.8117895258177854, -0.7699450208563552, -0.8034124520706287, -0.8368900992284822, -0.820156383621351, -0.7783118786599208, -0.9959012612706153]",-0.7448342315020673,1.4688017469615344
360ONE,2026-08-20,"[-0.33175749871369176, -0.4229887859728776, -0.43957261113440893, -0.47275038589285057, -0.3234554616975416, -0.1409928871791588, -0.01658382516153134, 0.09124141169456479, 0.32346558613292054, 0.27370398621295866, 0.5059382850866934, 0.27370398621295866, 0.3151736735521604, 0.2902878113744789, 0.3151736735521604, 0.35664336089136217, 0.33175749871368065, 0.3151736735521604, 0.24052621145449482, 0.19076461153453295, 0.10782523685610723, 0.13271109903378875, 0.11611714943686735, 0.1575868367760691, 0.1575868367760691, 0.049771724355363034, -0.02487573774229146, -0.008291912580760119, -0.01658382516153134, 0.0, 0.09953332427534711, 0.024885862177681517, -0.01658382516153134, 0.033177774758441636, 0.0746474620976656, 0.0746474620976656, -0.0580535125007442, -0.1409928871791588, -0.10781511242071717, -0.0580535125007442, -0.20734843669605318, -0.2156403492768244, -0.14928479975993003, -0.1409928871791588, -0.1409928871791588, -0.20734843669605318, -0.199046399679903, -0.22393226185758452, -0.09952319983995705, -0.1409928871791588, -0.3483413238752231, -0.4561665607313192, -0.36492514903675444, -0.1409928871791588, -0.3483413238752231, -0.5722735857328076, -0.47275038589285057, -0.41469687339211747, -0.47275038589285057, -0.47275038589285057, -0.5556897605712763, -0.5971594479104891, -0.588867535329729, -0.5971594479104891, -0.688390735169675, -0.688390735169675, -0.5722735857328076, -0.5556897605712763, -0.5142200732320634, -0.7215685099281277, -0.8459775719457552, -1.2938522200963143]",-0.5556897605712763,-8.984731778529031
ABB,2026-08-04,"[-0.18642324505013796, -0.5528413473900762, -0.11571097968628985, 0.0964258164052545, 0.08999742864490567, 0.1285677552069986, -0.10285420416559221, -0.3599897145795783, -0.20570840833119552, -0.10928259192594103, -0.2571355104139861, -0.15428130624839387, -0.21213679609154434, -0.2957058369760901, -0.28284906145539246, -0.44998714322448397, -0.4242735921830776, -0.4307019799434264, -0.3278477757778342, -0.2892774492157413, -0.334276163538183, -0.4885574697865769, -0.37927487786063585, -0.4371303677037752, -0.34713293905888065, -0.44998714322448397, -0.6428387760349707, -0.3921316533813335, -0.7392645924402141, -0.8099768578040623, -0.7135510413988189, -1.0542555926973507, -1.0928259192594547, -1.3113911031113368, -1.3113911031113368, -1.2471072255078375, -1.2213936744664422, -1.1378246335818964, -1.1635381846232917, -1.1635381846232917, -1.1121110825405012, -1.0928259192594547, -1.079969143738746, -0.9899717150938514, -0.9899717150938514, -0.9449730007714097, -1.11853947030085, -0.9964001028542002, -0.9706865518128049, -0.6942658781177724, -0.37927487786063585, -0.38570326562098467, -0.668552327076366, -0.7264078169195165, -0.7199794291591677, -0.6428387760349707, -0.6428387760349707, -0.6428387760349707, -0.8485471843661663, -0.8742607354075616, -0.9642581640524561, -0.8999742864489568, -0.9706865518128049, -0.9064026742093056, -0.8871175109282592, -0.8678323476472127, -0.6814091025970637, -0.6492671637953196, -0.6171252249935755, -0.5978400617125179, -0.9064026742093056, -0.9899717150938514, -1.1249678580611988]",-1.1249678580611988,-1.2420492371896574
ABCAPITAL,2026-06-24,"[-0.35247340660525817, -0.3650584497654874, -0.6545835910398923, -0.314702910771425, 0.03776281265726045, -0.1258811643085722, -0.5287024267313201, -0.6168207783826318, -0.5916430088856117, -0.5538801962283402, -0.40282126242274785, -0.2895328244509665, -0.15105893380560342, -0.07553330849107143, -0.2517623286171444, -0.314702910771425, -0.1258811643085722, -0.21399951595989508, 0.012585043160240339, -0.03777049583382208, -0.02517776949703121, -0.21399951595989508, -0.17623670330262353, -0.2517623286171444, -0.3902362192625075, -0.3902362192625075, -0.5161173835710797, -0.742701942691204, -0.7678797121882242, -0.8056425248454846, -0.944108732314286, -0.8182275680057138, -0.6042357352224026, -0.5790579657253603, -0.3650584497654874, -0.6042357352224026, -0.7678797121882242, -0.9315236891540568, -0.9944642713083485, -1.0825826229596491, -0.8811681501600055, -0.7804647553484645, -0.7804647553484645, -0.6797613605369124, -0.6797613605369124, -0.6671763173766831, -0.4783545709138304, -0.5790579657253603, -0.5664652393885694, -0.5161173835710797, -0.5161173835710797, -0.6294058215428611, -0.4657618445770395, -0.40282126242274785, -0.4154139887595387, -0.5035246572342889, -0.6294058215428611, -0.6294058215428611, -0.7175241731941839, -0.9063459196570367, -1.057404853462629, -1.2588116430857221, -1.4602261158853658, -1.5609295106969179, -1.5357517411998978, -1.7875140698170422, -1.7371662139995414, -1.7497512571597706, -1.586107280193938, -1.9133952341256144, -1.66163290550847, -1.6742256318452609, -1.7371662139995414, -1.7623363003199999, -1.7245734876627505]",-1.5231666980396463,1.2306636718846242
ABCAPITAL,2026-07-03,"[0.0, 0.36069955398789766, 0.062189054726369264, 0.261190993275795, 0.2985104992615284, 0.36069955398789766, 0.44775815745490277, 0.7089567421680654, 0.9204010465251988, 0.845769625991144, 0.9577129610735424, 1.0572139303482553, 0.9577129610735424, 0.8333348516208039, 0.7587034310867491, 0.746268656716409, 0.733833882346091, 0.9452705952658347, 0.8955239063471732, 0.8706467661691475, 0.7711457968944346, 0.9079586807175133, 0.9452705952658347, 0.9079586807175133, 0.8333348516208039, 0.9079586807175133, 0.9452705952658347, 0.9452705952658347, 0.9701477354438826, 0.995024875621886, 0.995024875621886, 0.8706467661691475, 1.0447791559779374, 1.1318377594449425, 1.343282063802076, 1.6169154228855787, 1.4925373134328401, 1.4054711185284452, 1.5422915937888915, 1.7412935323383172, 1.7039816177899514, 1.6542273374339223, 1.6293501972558966, 1.679104477611948, 1.7786054468866608, 1.7910478126943463, 1.753728306708635, 1.753728306708635, 1.6293501972558966, 1.5422915937888915, 1.6417925630635821, 1.6542273374339223, 1.6542273374339223, 1.6542273374339223, 1.679104477611948, 1.592038282707553, 1.5298492279811837, 1.6044806485152607, 1.6915392519822658, 1.7039816177899514, 1.7786054468866608, 1.8034825870646864, 1.8159173614350044, 1.8034825870646864, 2.0398040315998234, 1.9029835563393993, 1.8034825870646864, 1.6417925630635821, 1.8159173614350044, 1.84079450161303, 1.7661706725163206, 1.8159173614350044, 1.8656716417910557, 1.7786054468866608, 1.990049751243772]",2.1268626350668285,-1.8678984982287816
ABCAPITAL,2026-07-06,"[-0.3660322217378442, -0.39042841229797176, -0.41483204980277133, -0.5368427903820527, -0.4270375920274794, -0.4026339545226909, -0.37823031701790244, -0.3172249467282673, -0.34162858423304465, -0.26841767171869035, -0.3172249467282673, -0.37823031701790244, -0.4392356873075487, -0.3538266795131251, -0.3172249467282673, -0.34162858423304465, -0.2928213092234899, -0.5002410575971838, -0.5124391528772532, -0.5246446951019723, -0.7076608059708889, -0.6710590731860422, -0.5124391528772532, -0.4392356873075487, -0.5978481606716879, -0.5002410575971838, -0.34162858423304465, -0.26841767171869035, -0.2928213092234899, -0.21961784365376325, -0.2074123014290552, -0.41483204980277133, -0.4270375920274794, -0.41483204980277133, -0.39042841229797176, -0.46363932481232606, -0.5612464278868301, -0.451433782587618, -0.451433782587618, -0.5246446951019723, -0.4880429623171145, -0.3660322217378442, -0.34162858423304465, -0.2074123014290552, -0.5978481606716879, -0.5978481606716879, -0.9272786496246632, -0.7320644434756773, -0.756460634035816, -0.6832571684661115, -0.6100537028963959, -0.6100537028963959, -0.6100537028963959, -0.6832571684661115, -0.6832571684661115, -0.7076608059708889, -0.6954552637461808, -0.6954552637461808, -0.7076608059708889, -0.7076608059708889, -0.7076608059708889, -0.7076608059708889, -0.7198589012509693, -0.7320644434756773, -0.7808642715406044, -0.8052679090453929, -0.7808642715406044, -0.768666176260524, -0.7808642715406044, -0.8540751840549587, -0.9028750121198859, -1.1468964932784487, -1.171300130783226, -1.2567091385776497, -1.2079018635680838]",-1.073693027708722,-1.6153768915837308
ACMESOLAR,2026-06-24,"[-1.5414191505915165, -1.802914399408484, -2.3671830098817015, -2.477291577870544, -2.601151116701461, -2.7525461976339427, -2.669964771642308, -2.807592081524002, -2.9452193914057068, -2.87640573646486, -3.2067146402226743, -2.3947101518789093, -2.477291577870544, -2.2708506130480033, -2.3809507809324892, -2.0644096482254515, -1.954301080236609, -1.9405417092901778, -2.559864603757822, -2.669964771642308, -2.614918887752249, -2.58739174575503, -2.628678258698669, -2.697491913639516, -2.835119223521221, -2.7525461976339427, -2.6424376296451, -1.761627886464845, -1.9267823383437577, -2.1194555321155106, -2.1607420450591497, -2.2295556999999966, -2.1882691870563686, -2.711251284585947, -3.0828467012874006, -2.87640573646486, -3.234241782219882, -3.1379009852818274, -3.1379009852818274, -3.1379009852818274, -3.1379009852818274, -3.1103738432846084, -3.1516603562282475, -4.004951357515651, -3.9636648445720124, -3.812269763639531, -3.7985103926930996, -3.8673240476339577, -3.7847510217466795, -3.481969259986073, -3.371869092101587, -3.3581013210507993, -3.385628463048007, -3.3581013210507993, -3.371869092101587, -3.660883082811406, -3.605828798816979, -3.165428127279035, -3.1103738432846084, -2.5048103197633953, -2.2570828419972155, -2.2020369581071564, -2.091928390118303, -1.816673770354904, -1.8992551963465387, -2.091928390118303, -2.1882691870563686, -1.802914399408484, -2.0644096482254515, -2.0368825062282436, -1.734100744467637, -1.8579686834029108, -1.7891550284620528, -1.734100744467637, -1.761627886464845]",-1.734100744467637,5.55613540688169
ACMESOLAR,2026-06-29,"[-0.06614631351382627, 0.5688566813186524, -0.13229262702765254, -0.41011198848641683, -0.5820907887221338, -0.3704258152783746, 0.4762502274990643, 0.5820827142209328, 0.41010391398523804, 0.41010391398523804, 0.6217688874289973, 0.2645852540553051, 0.17197880023569478, 0.22489100634603965, 0.4762502274990643, 0.3704177407771736, 0.4497900871933025, 0.3704177407771736, 0.4630241945967617, 0.42332994688751846, 0.4630241945967617, 0.48947626040134473, 0.555622573915171, 0.42332994688751846, 0.41010391398523804, 0.4630241945967617, 0.5159364007071066, 0.6217688874289973, 0.6350029948324565, 0.7805216547624116, 0.6879152009428235, 0.6217688874289973, 0.5820827142209328, 0.4630241945967617, 0.3439576004714118, 0.5027103678048261, 0.5423965410128684, 0.555622573915171, 0.41010391398523804, 0.3571836333736922, 0.3704177407771736, 0.3571836333736922, 0.41010391398523804, 0.4497900871933025, 0.4497900871933025, 0.3042714272633473, 0.03968617320804224, -0.264585254055294, -0.25135922115301357, 0.0, -0.0926064538195992, -0.07938042091729658, -0.03969424770925434, 0.23812511374952106, 0.11905851962417113, -0.052920280611534753, -0.11906659412536102, -0.10584056122308061, -0.1984389405414677, -0.1852129076391873, -0.22489908084725174, -0.13229262702765254, -0.11906659412536102, -0.07938042091729658, -0.9525085294993185, -0.9789686698050803, -0.9921947027073608, 0.07937234641610669, 0.23812511374952106, 0.2778112869575855, 0.5423965410128684, 0.7011493083462828, 0.6350029948324565, 0.4630241945967617, 0.5423965410128684]",0.6746891680405209,6.157718319803718
ACUTAAS,2026-06-29,"[-3.3284057473684348, -3.970093097385907, -2.555592344625235, -2.9210710528016826, -2.882014547356282, -2.6113912446267484, -2.6253409696271324, -2.4718939946229534, -2.2682266473395774, -2.156628847336539, -2.9657128973585634, -3.1247384000850587, -3.161009047363883, -3.283763902811554, -3.582293466931008, -3.9421936473851504, -3.8166461223817283, -3.3228272196461184, -3.3284057473684348, -3.610192916931776, -3.6855200696559898, -3.8696523528275018, -3.827803177826372, -3.7915393419367116, -3.412104097370716, -3.314456022368062, -3.0801033669173417, -2.8094732527986443, -2.9852411500812637, -3.049411247360845, -3.194487025086956, -3.0745180278058615, -3.021511797360088, -3.0131406000820204, -3.018719127804348, -3.010354741915444, -3.021511797360088, -3.194487025086956, -3.1191598723627423, -3.0466185778051047, -2.7704167473532437, -2.725774902796363, -2.7704167473532437, -2.6839257277952333, -2.753674352797131, -3.2168079473653965, -3.4651103278164896, -3.4651103278164896, -3.3702549223695755, -3.4483747446495294, -3.0410400500827772, -2.865272152800169, -2.753674352797131, -2.6309194973494487, -2.6727686723505895, -2.806687394632068, -2.8903857446343495, -2.8903857446343495, -2.7006681223513462, -3.149851991919239, -3.576708127819528, -2.7480958250748033, -2.538849950069111, -2.6420765527940926, -2.6253409696271324, -2.697875452795606, -2.137100594613839, -1.6544387473228728, -1.7911433277709277, -2.351924997341859, -2.173371241892663, -2.0534022446115574, -1.6823381973236295, -1.6544387473228728, -1.7325585696028267]",-1.6544387473228728,9.591812105082042
ACUTAAS,2026-07-02,"[-1.0677770621806082, -0.887573964497046, -0.710056545017479, -0.6697122739039774, -0.4922014208747938, -0.5890237316769742, -0.5433015377050876, -0.7208189571846435, -1.0220548682087105, -0.7530930607853703, -0.9279182356105475, -0.9198480680977728, -0.9144701452393766, -0.8633700284090939, -0.23937338202663083, -0.21516944593867882, -0.21516944593867882, 0.05917028434305749, 0.13178865905729698, -0.484131253362019, -0.484131253362019, -0.38192445325108126, -0.3227541689080127, -0.13985882657006066, -0.21516944593867882, -0.21516944593867882, -0.1963434327091229, -0.16137708445400634, -0.34965034965035446, -0.3738542857382954, -0.5190976016171356, -0.5486794605634726, -0.6186121570736947, -0.9117779005849869, -1.4792899408283988, -1.371705217859065, -1.2103281334050586, -1.277568585260891, -1.4739120179700138, -1.559978483055402, -1.2856387527736657, -1.6648709613703572, -1.5034938769163508, -1.3797753853718397, -0.4895091762204151, -0.6993006993006978, -1.1565357719203861, -1.145779926203605, -1.0489510489510523, -0.9951586874663798, -0.9844028417495987, -0.887573964497046, -1.1430876815492153, -1.1027434104357137, -1.2614282502353413, -1.175361785149942, -1.1161915008068846, -1.0892953200645539, -1.1511578490620011, -1.2264684684306082, -1.2076358887506689, -1.2372243141473893, -1.2264684684306082, -1.2506724045185602, -1.2910166756320618, -1.2560503273769452, -1.1511578490620011, -1.0247471128631003, -0.8768181187802537, -0.7907450872444821, -0.9682625067240491, -0.6186121570736947, -0.7530930607853703, -0.7261968800430285, -0.9790183524408302]",-0.6239900799320908,-4.656768852241555
