group,close_d0,close_d1,close_d2,close_d3,close_d5,close_d10,mfe,mae,max_h
Common,1.1983539334577298,-0.826307491077205,-3.210034660258476,-3.5777612447274287,0.14708640898768444,3.352801211334655,10.21415088281421,-4.815057271387612,15
Common,-0.6311156218503311,-2.7312247547147117,-0.15515109331323274,-0.2553509330254,-1.699961480704637,-0.24700264526097415,6.366461994019623,-4.213407693968629,15
Common,0.9760517456709028,2.523707657194185,3.1493521568729532,0.4656599286053442,-1.6747097091270535,-0.7527083463437223,4.861651886683349,-8.169910350365694,15
Common,0.29979800826402947,0.9118712387073291,-1.7136072439049022,-3.791445396575377,-3.8397651564113677,-3.1793721661320884,2.58702834094402,-13.90679141725608,15
Common,-0.5689333376612038,-3.155884930379449,-5.203232396397728,-5.21909940222367,-5.711102511445798,-3.092407220258908,-0.8466737473325381,-15.48756105715018,15
Common,-0.40492027245877527,-1.0698433933082008,-0.775258110909538,-0.20292715541225803,-1.372843343197272,-9.175151130176495,1.0090829184632666,-11.531833389365865,15
Common,1.0280793646757713,0.5195487638468776,-0.9975695978423404,-0.3619063468062067,-1.5993287396068978,0.05339571308704549,3.647014028160944,-3.379185842508059,15
Common,0.0012468983403790546,-0.3312593257604912,-1.0960195822786623,0.5831327905169381,0.08437345436560495,-3.9888277908701975,1.3977770984779703,-10.505951812704428,15
Common,-0.7088333795588042,1.9188497795533,2.116375754824684,1.914251457394478,1.7488688755552761,-7.195327555579656,7.312008746663734,-12.997339047419299,15
Common,-1.0061755055997823,-0.8143184372420231,-1.0106418579746812,-1.1221917319233277,3.210409729658892,-10.702092727924272,4.232202217611514,-15.494276402112185,15
Common,-1.582237476168058,-1.7770409144779231,-1.8877271428817122,-1.9364334070601785,-2.3968837935391396,-10.171483395701063,3.4252118205001514,-16.14853972950565,15
Common,1.6783900722782574,-3.0954124547149853,-10.919869965742757,-10.168195626350741,-12.027600006328786,-13.126540667989994,2.685015425622961,-17.654176194034154,15
Common,-0.2700441181285096,-0.971424053995662,-2.8481186821303184,-2.9523769236693864,-4.630025201974119,-7.937930596965104,1.3981340269279885,-8.942620909255162,15
Common,-1.9058321629168207,-3.7648187844307013,-3.8680932720847383,-4.675533352759375,-6.25285029878444,-7.726892757155468,-1.2204567732597704,-11.519963778493414,15
Common,3.7025134195935117,2.7938950064408052,2.5991942944322943,4.277346248920466,6.752862300509266,5.8257052739594695,14.225745670933577,1.2826358438655205,15
Common,-2.02628498962778,-2.211855855187861,-0.6123952906979202,0.2801312114494303,1.685175470063105,1.4377512450237884,8.869506817599394,-3.4666786481391765,15
Common,-0.028650429001353395,-0.08943492208458581,-1.1313457866101273,-0.5148733793401972,-0.8969094827726343,-0.39332559090453634,13.003915848332536,-3.0849286575955093,15
Common,0.2485908062948683,2.1562305615117072,3.2499460910909717,-2.7358118205203175,1.4949113065266584,10.51592981889593,12.169217606750514,-5.364115483263521,15
Common,0.5793202121992858,1.6561528622095256,-4.237207321456882,-0.9649717508044775,5.696346386513329,9.461087918471843,10.437744165080654,-6.824939800003738,15
Common,0.2682120080709671,-5.544684424639302,-2.3171256325684175,-1.4361394857785759,6.336336521776742,7.43963462901156,8.92990570523471,-8.097085843280482,15
Common,2.2646468285096644,4.3080054274084345,3.322676296126925,4.929892031068284,5.907156492547427,-2.5570200943335175,6.852103120759856,-4.0027156760081395,15
Common,1.1869784933599803,0.23113165104595712,1.7902574663591464,2.1271594781995695,2.236849172567279,-5.4177967507443086,3.654953578563891,-9.092329781946562,15
Common,-0.6733561411631728,-0.34460811577914363,0.25172247316052054,-0.23757322384905244,-3.7773120119007353,-5.726842117806086,5.771564765492565,-11.292553840239828,15
Common,4.078641869996669,-1.5169838357669496,-0.9650902486767254,-2.7894212763628246,-2.8737370525872663,1.1888405146109893,7.63530606588172,-4.491100967377082,15
Common,-0.48275306170371124,-2.143588351131931,-1.412819021661893,0.6761463021733194,1.7243143028136565,-0.7411052178369903,5.112420095368875,-5.096184421226568,15
Common,-1.468299553950947,-2.346973046284717,-0.24240726424592518,-2.580807922080963,-4.43736151313725,-4.586167097730998,0.9055314168815887,-9.546410917381076,15
Common,-1.4627913783634594,-3.243351690659191,-3.112907945044985,-3.5368501182911682,-6.530535672468185,-14.820234113920394,-0.9149340161072939,-21.20545705406689,15
