ticker,i,date,swing_pnl,day1_pnl,early_version
360ONE,897,2025-04-22,-8.965167085087755,2.4556226678687842,False
360ONE,898,2025-04-23,-1.216575755408722,2.806281094527363,False
360ONE,914,2025-05-16,4.3610074626865725,-1.857898009950243,False
360ONE,1082,2026-01-16,-7.236948033939628,-2.7059604178890417,False
360ONE,1141,2026-04-17,2.281225102884199,1.5842401973427789,False
360ONE,1155,2026-05-08,1.6741003759434214,-0.7645137461173457,False
360ONE,1211,2026-07-29,4.086849648204782,1.4672141704815012,False
AARTIIND,24,2021-10-04,21.16193759485916,,True
AARTIIND,25,2021-10-05,12.163359501529891,,True
AARTIIND,26,2021-10-06,7.190396297990587,,True
AARTIIND,692,2024-06-20,0.33881963543456184,,False
AARTIIND,839,2025-01-21,1.500925834737532,,False
AARTIIND,852,2025-02-06,-20.15166727543659,,False
ABB,415,2023-05-04,12.728027930123108,4.449019271458798,True
ABB,416,2023-05-05,7.103552575750016,1.2872964009893906,True
ABB,615,2024-02-22,9.14554234452012,5.045477714660063,False
ABB,616,2024-02-23,2.81710355903968,-2.1580208190697725,False
ABB,619,2024-02-28,1.5482148710513455,-1.8165528900176309,True
ABB,763,2024-10-01,2.4588501937294227,-0.6549914173956117,False
ABB,913,2025-05-14,5.187100368672826,-1.8033193611992515,False
ABB,915,2025-05-16,4.7654290530817045,1.614589081560447,False
ABB,1001,2025-09-17,-4.874413311904924,-0.002147900345628173,False
ABB,1002,2025-09-18,-4.7195392911522855,0.2925106648655973,False
ABB,1092,2026-01-30,1.6727986924323979,-1.5288586360670653,False
ABB,1094,2026-02-03,7.49925335413737,0.48766070636916403,False
ABB,1095,2026-02-04,6.375730982804839,-0.8252204051677703,False
ABB,1185,2026-06-19,-6.628972589492566,-0.5523800901749754,False
ABB,1203,2026-07-16,5.866814483291938,4.942960575389899,False
ABCAPITAL,583,2024-01-05,2.893320761739626,0.3003275988582965,False
ABCAPITAL,587,2024-01-11,-1.0527718644666617,0.39090603387281764,True
ABCAPITAL,601,2024-02-02,4.341352212580918,1.2266816889717314,False
ABCAPITAL,604,2024-02-07,-2.4564309073001223,1.702923483172647,False
ABCAPITAL,605,2024-02-08,-3.186059690166687,-0.8928865605745906,False
ABCAPITAL,640,2024-04-02,18.295590774093572,9.10360843395499,False
ABCAPITAL,641,2024-04-03,5.511564964184279,-0.25423007213321025,False
ABCAPITAL,642,2024-04-04,4.3380789011660426,-1.1711313522394629,False
ABCAPITAL,684,2024-06-07,1.5107927842541002,-0.9136145433719989,False
ABCAPITAL,688,2024-06-13,-1.5074350360699595,0.1368213744652902,False
ABCAPITAL,689,2024-06-14,-4.718409458339979,-0.976129323730579,True
ABCAPITAL,752,2024-09-16,-2.934659971849274,-1.2564113506451369,False
ABCAPITAL,1140,2026-04-15,1.7510493092621093,0.41641734014368215,False
ABCAPITAL,1186,2026-06-22,5.832665697358141,4.025925744764436,True
ABFRL,87,2022-01-04,3.3376346290333814,,False
ABFRL,89,2022-01-06,3.5438089524008287,,False
ABFRL,90,2022-01-07,1.5259240986177591,,True
ABFRL,596,2024-01-25,4.155854625875288,,False
ABFRL,597,2024-01-29,1.6504648083099482,,False
ABFRL,757,2024-09-23,-4.900541524123636,,True
ABFRL,990,2025-09-02,5.271952975268168,,False
ABFRL,993,2025-09-05,-1.3111974714280383,,False
ABFRL,994,2025-09-08,-2.338019123021984,,False
ABREL,738,2024-08-27,13.230049947670807,,False
ACC,44,2021-11-02,4.4179073967614,,False
ACC,45,2021-11-03,3.717756320065657,,False
ACC,47,2021-11-08,-5.639088142334647,,False
ACC,48,2021-11-09,-11.373962158697603,,False
ACC,49,2021-11-10,-11.718590111392102,,False
ACC,292,2022-11-02,0.5214526739377723,,False
ACC,472,2023-07-25,10.337173832120495,,False
ACC,473,2023-07-26,5.955710860686669,,False
ACC,474,2023-07-27,4.223240114716464,,False
ACC,475,2023-07-28,0.365179278638772,,False
ACC,476,2023-07-31,-0.25812386852744895,,True
ACC,561,2023-12-05,6.199487683818861,,False
ACC,562,2023-12-06,-1.5093274542982593,,False
ACC,673,2024-05-23,4.2795768092164455,,False
ACE,995,2025-09-09,-4.708602026835685,,False
ACUTAAS,835,2025-01-30,14.382474240868204,,False
ACUTAAS,837,2025-02-01,7.180025717980243,,False
ACUTAAS,838,2025-02-03,-11.921433463539532,,False
ACUTAAS,839,2025-02-04,-13.702177932535331,,False
ACUTAAS,840,2025-02-05,-15.461250113500679,,False
ADANIENSOL,208,2022-06-30,13.216158159388058,5.182333575252707,False
ADANIENSOL,209,2022-07-01,7.1067740736024065,-2.5354030349055923,False
ADANIENSOL,349,2023-01-23,-27.881286221935476,-0.10365588394836145,False
ADANIENSOL,481,2023-08-07,2.9136670637397444,-3.212289678534952,False
ADANIENSOL,557,2023-11-29,2.7779137219726024,-0.6055574431558131,False
ADANIENSOL,560,2023-12-04,8.536795440037782,-5.905598521907907,False
ADANIENSOL,561,2023-12-05,8.7133939355724,16.753692836128952,False
ADANIENSOL,562,2023-12-06,-6.172754379027834,6.833962116309111,False
ADANIENSOL,616,2024-02-26,-13.954215927147063,7.290590710915756,False
ADANIENSOL,673,2024-05-24,-0.1596086744005465,0.0315625778058104,False
ADANIENSOL,719,2024-07-31,-6.724527681468484,-3.0679387643189004,False
ADANIENSOL,720,2024-08-01,-8.248800915374533,6.415215825360088,False
ADANIENSOL,787,2024-11-06,-32.30743701816191,-2.3130043762628616,False
ADANIENSOL,876,2025-03-17,9.115827008501132,0.14628950853801115,True
ADANIENSOL,877,2025-03-19,8.407590579450886,1.8436464015201715,True
ADANIENSOL,1002,2025-09-19,10.281926586225199,3.671949026384791,True
ADANIENSOL,1135,2026-04-08,10.463981570008318,2.383571230317738,False
ADANIENSOL,1137,2026-04-10,12.121418308085152,2.7122452254854768,False
ADANIENSOL,1138,2026-04-13,4.836036112374065,2.4693813642899354,True
ADANIENSOL,1139,2026-04-15,14.659381599975486,-0.9249373755302215,True
ADANIENSOL,1140,2026-04-16,12.904832311107395,1.8833920985281694,True
ADANIENT,32,2021-10-14,-2.975333344605824,3.5022549616509746,True
ADANIENT,48,2021-11-09,10.099977411984984,2.2966012192143115,False
ADANIENT,49,2021-11-10,4.933443021668338,-1.0373089345316777,False
ADANIENT,50,2021-11-11,3.2530142188302413,-0.9519396594651175,False
ADANIENT,51,2021-11-12,-3.9076930146253575,0.07182397869807122,False
ADANIENT,52,2021-11-15,-2.8729599358904734,1.8142755933548305,False
ADANIENT,82,2021-12-28,0.3383528608933206,0.24675242887977067,False
ADANIENT,191,2022-06-07,-2.168271246898512,-0.3776989210764081,False
ADANIENT,413,2023-05-02,1.5831349637646541,-1.7771226173658339,False
ADANIENT,420,2023-05-11,17.727744677236924,1.678788154851385,False
ADANIENT,560,2023-12-04,13.484878685345647,0.2470551857365555,False
ADANIENT,561,2023-12-05,9.025205289784232,18.099291595970058,False
ADANIENT,562,2023-12-06,-0.7661732598151505,-3.8110525938197415,False
ADANIENT,673,2024-05-23,14.239824499549503,6.741881145453843,False
ADANIENT,674,2024-05-24,-0.3412153076002733,-1.8997788509010904,False
ADANIENT,880,2025-03-21,2.3672140852911916,0.4347936637087324,False
ADANIENT,897,2025-04-21,-0.7982283383880406,-0.07896463623568994,False
ADANIENT,898,2025-04-22,-0.6186157176653051,-0.6953105194090203,False
ADANIENT,906,2025-05-05,-2.8254016941274496,-1.6754795523814536,False
ADANIENT,915,2025-05-16,-0.2061127715564215,1.254846518558006,False
ADANIENT,945,2025-06-27,-0.4016008826215889,1.6662485007157724,False
